MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
22-37,0,0.071,0.214,0.071,0.143,0.214,0,0.071,0.071,0.143,0,0,0.786,0.071,0.143,0,4,0,0,0,0,0,0,0,0,172,2,1,1992,418,201,0.965,0.628,0.372,14
22-38,0.167,0.083,0.104,0.042,0.104,0.021,0.021,0.042,0.146,0.021,0.042,0.208,0.896,0.042,0.063,0,3,0,1,0,0,0,0,0,0,208,2,1,1984,364.5,116.5,0.957,0.837,0.163,48
22-39,0.258,0.032,0.097,0.032,0.065,0.161,0.097,0.032,0.065,0.065,0,0.097,1,0,0,0,4,0,0,0,0,0,1,0,0,141,2,1,1992,409,165,0.943,1,0,31
22-40,0,0.222,0,0.222,0,0.111,0.222,0,0,0,0.111,0.111,0.889,0,0.111,0,3,0,0,0,0,0,0,0,0,7,1,1,2005,9228,201,0,1,0,9
22-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1989,10978.5,201,0,1,0,0
22-42,0.105,0.105,0.105,0,0.158,0.053,0.105,0,0.158,0,0.053,0.158,0.737,0.105,0.158,0,3,0,0,0,0,0,0,0,0,11,2,1,1978,5872,201,0,1,0,19
22-52,0.286,0.143,0.071,0.071,0,0,0.071,0,0.071,0.071,0.071,0.143,0.786,0.071,0.143,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
22-53,0,0,0.4,0.2,0,0,0,0,0,0.4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,10,1.5,1,1985,10469.5,201,0,1,0,5
22-54,0.25,0.05,0.05,0,0.4,0,0.05,0.05,0.1,0.05,0,0,0.75,0,0.25,0,3,0,0,0,0,0,0,0,0,6,1,1,1980.5,11750.5,1567.5,0,1,0,20
22-55,0,0,0.125,0.125,0.125,0,0.125,0,0.25,0.125,0,0.125,0.75,0.25,0,0,4,0,0,0,0,0,0,0,0,3,1,1,1985,20089,7045,0,1,0,8
22-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2000,20835,201,0,1,0,0
22-57,0,0.25,0.25,0,0,0.25,0.125,0,0.125,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,10,2,1,1968,8685,1116.5,0,1,0,8
22-58,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0.25,0.75,0,0.25,0,3,0,0,0,0,0,0,0,0,7,1,1,1965,5686,3773,0,1,0,4
22-62,0,0.077,0.154,0.231,0.231,0.154,0,0,0,0,0,0.154,0.846,0.154,0,0,3,0,0,0,0,0,0,0,0,29,1,1,1960,418,134,0.966,0.966,0.034,13
22-63,0,0.167,0.167,0.167,0,0,0.167,0,0.167,0.167,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,226,2,2,1960,395,267,0.947,1,0,6
22-64,0.042,0.167,0.083,0.083,0.083,0.083,0.125,0.083,0,0.167,0,0.083,0.917,0,0.083,0,3,0,0,0,0,0,0,0,0,215,2,1,1961,431,201,0.949,0.995,0.005,24
22-65,0.083,0,0.083,0,0.083,0.167,0.083,0.25,0,0.083,0,0.167,0.833,0,0.167,0,3,0,0,0,0,0,0,0,0,135,2,1,1965,445,178,0.941,1,0,12
22-66,0.139,0.079,0.04,0.05,0.05,0.05,0.129,0.089,0.129,0.079,0.089,0.079,0.851,0.01,0.139,0,4,0,2,0,1,0,1,0,1,399,1,1,1982,52,179,0.885,0.258,0.742,101
22-67,0.071,0.036,0.107,0.107,0.107,0.071,0.071,0.071,0.036,0.107,0.107,0.107,0.893,0.071,0.036,0,3.5,0,0,0,0,0,0,0,0,200,2,2,1953,427,201,0.99,1,0,28
22-68,0.108,0.09,0.081,0.09,0.018,0.108,0.054,0.09,0.108,0.081,0.081,0.09,0.784,0.108,0.108,0,3,0,2,0,1,0,2,0,1,353,2,2,1952,322,201,0.924,0.711,0.289,111
22-69,0.163,0.023,0.14,0.047,0.047,0.047,0.14,0.116,0.047,0.163,0.023,0.047,0.744,0.116,0.14,0,3,0,1,0,0,0,1,0,1,198,2,1,1951,318,134,0.924,1,0,43
22-70,0.075,0.1,0.05,0.1,0.05,0.1,0.1,0.05,0.15,0.125,0.075,0.025,0.925,0,0.075,0,4,0,0,0,0,0,0,0,0,238,2,1,2002.5,216.5,201,0.966,0.5,0.5,40
22-71,0.077,0.049,0.028,0.056,0.091,0.112,0.175,0.126,0.049,0.077,0.056,0.105,0.888,0.035,0.077,0,3,0,2,0,1,0,2,0,1,728,2,1,1997,81,274,0.705,0.359,0.641,143
22-72,0.125,0.063,0.083,0.042,0.146,0.083,0.063,0.063,0.021,0.042,0.167,0.104,0.688,0.125,0.188,0,3,0,1,0,1,0,0,0,1,340,2,1,1929,216,201,0.756,0.629,0.371,48
22-73,0,0,0,0.192,0.115,0.077,0.115,0.192,0.077,0.154,0,0.077,0.577,0.077,0.346,0,3,0,0,0,1,0,0,0,1,270,2,2,1955,188,201,0.941,0.685,0.315,26
22-74,0.154,0.077,0.154,0.077,0.231,0.077,0.077,0.077,0,0,0.077,0,0.385,0.308,0.308,0,3,0,0,0,0,0,0,0,0,382,2,2,1950,199,201,0.908,0.736,0.264,13
22-75,0.286,0.143,0.071,0.214,0.071,0,0.071,0,0,0.071,0,0.071,0.786,0,0.214,0,3,0,0,0,0,0,0,0,0,8,3,3,1922,219.5,274,0.875,1,0,14
22-76,0.077,0,0.154,0,0.077,0.077,0,0,0.077,0.385,0.077,0.077,0.385,0,0.615,0,2,0,0,0,0,0,0,0,0,6,2,1,1981.5,5323.5,846,0,1,0,13
22-77,0,0.081,0.081,0.081,0.189,0.081,0.135,0.081,0,0.108,0.162,0,0.838,0.054,0.108,0,4,0,0,0,0,0,0,0,0,257,2,1,2008,46,201,0.852,0.245,0.755,37
22-78,0.077,0,0.154,0.077,0.231,0,0.231,0,0.077,0.077,0.077,0,0.769,0,0.231,0,3,0,0,0,0,0,0,0,0,35,2,1,1969,1423,201,0.057,0.657,0.343,13
22-79,0.077,0.077,0.385,0.077,0,0.077,0.077,0,0,0.077,0.154,0,0.615,0.154,0.231,0,2,0,0,0,0,0,0,0,0,55,2,1,1967,594,201,0.255,1,0,13
22-80,0.125,0.125,0.083,0.167,0.042,0.042,0.083,0.125,0.083,0.042,0.042,0.042,0.708,0.167,0.125,0,3,0,0,0,0,0,0,0,0,33,2,1,1954,493,271,0.303,0.879,0.121,24
22-81,0.067,0.15,0.05,0.117,0.1,0.067,0.067,0.117,0.133,0.067,0.033,0.033,0.65,0.133,0.217,0,3,0,1,0,1,0,1,0,1,255,2,2,1926,240,252,0.937,0.678,0.322,60
22-82,0.107,0.036,0.054,0.018,0.161,0.089,0.107,0.107,0.143,0.089,0.071,0.018,0.446,0.125,0.429,0,3,0,1,0,2,0,1,0,2.5,493,2,2,1922,232,205,0.951,0.627,0.373,56
22-83,0.047,0.047,0.023,0.116,0.07,0.07,0.186,0.07,0.209,0.07,0.047,0.047,0.674,0.023,0.302,0,3,0,1,0,0,0,0,0,0,154,2,1,2004,41,201,0.961,0.344,0.656,43
