ID,LAT_MIN,LNG_MIN,LAT_MAX,LNG_MAX,LAT_ID,LNG_ID
47-5,45.5426,-73.9788,45.5457,-73.9735,47,5
48-5,45.5457,-73.9788,45.5488,-73.9735,48,5
49-5,45.5488,-73.9788,45.551899999999996,-73.9735,49,5
50-5,45.551899999999996,-73.9788,45.555,-73.9735,50,5
51-5,45.555,-73.9788,45.5581,-73.9735,51,5
52-5,45.5581,-73.9788,45.5612,-73.9735,52,5
53-5,45.5612,-73.9788,45.5643,-73.9735,53,5
54-5,45.5643,-73.9788,45.5674,-73.9735,54,5
55-5,45.5674,-73.9788,45.5705,-73.9735,55,5
56-5,45.5705,-73.9788,45.5736,-73.9735,56,5
57-5,45.5736,-73.9788,45.5767,-73.9735,57,5
